Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
50,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,50,31.667,0.75,40,30.542,0.875,40,Li,
51,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,51,32.375,1.042,40,31.15,0.792,40,Li,
52,5,Li et al ,2014,Oecologia,2.902,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Mamestra brassicae,Lepidoptera,young,chewer,generalist,H,52,31.966,1.083,40,34.708,1.042,40,Li,
53,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,53,13.905,0.19,40,13.897,0.143,40,Li,
54,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,54,13.762,0.175,40,13.841,0.183,40,Li,
55,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,55,14.69,0.127,40,13.976,0.175,40,Li,
56,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,56,14.762,0.095,40,14.333,0.278,40,Li,
57,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,57,14.119,0.135,40,14.198,0.175,40,Li,
58,5,Li et al ,2014,Oecologia,2.902,figure 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,1,adult,piercing-sucking,specialist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,58,13.968,0.238,40,13.817,0.175,40,Li,
59,6,Li et al ,2016,Ecological Entomology,1.687,figure 4,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Brevicoryne brassicae,Hemiptera,5,adult,piercing-sucking,specialist,SA_JA,field,local,leaves,leaves,abundance,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,59,12.975,1.34,288,16.264,1.949,288,Li,
60,7,Shiojiri et al. ,2002,Ecology Letters,10.772,Table 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,60,10.2,0.3,20,9.8,0.1,16,Shiojiri,
61,7,Shiojiri et al. ,2002,Ecology Letters,10.772,Table 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,pupal_weight,herbivore,Plutella xylostella,Lepidoptera,young,chewer,specialist,H,61,5.2,0.2,20,5.1,0.2,16,Shiojiri,
62,7,Shiojiri et al. ,2002,Ecology Letters,10.772,Table 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Plutella xylostella,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,H,62,12.8,0.1,16,12.9,0.1,15,Shiojiri,
63,7,Shiojiri et al. ,2002,Ecology Letters,10.772,Table 1,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Plutella xylostella,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,pupal_weight,herbivore,Pieris rapae,Lepidoptera,young,chewer,specialist,H,63,168.3,6.5,16,161.9,6,15,Shiojiri,
64,8,Erb et al,2011,Journal of Ecology,6.18,figure 3,tropical,Zea mays,herbaceous,annual,herbivore,Spodoptera frugiperda,Lepidoptera,0.29,young,chewer,generalist,JA_JA,controlled,distant,leaves,roots,weight,herbivore,Diabrotica virgifera,Coleoptera,young,chewer,specialist,H,64,1.405,0.273,15,0.095,0.164,15,Erb,
65,8,Erb et al,2011,Journal of Ecology,6.18,figure 4,tropical,teosinte,herbaceous,annual,herbivore,Spodoptera frugiperda,Lepidoptera,0.29,young,chewer,generalist,JA_JA,controlled,distant,leaves,roots,weight,herbivore,Diabrotica virgifera,Coleoptera,young,chewer,specialist,H,65,1.936,0.3,15,1.009,0.286,15,Erb,
66,8,Erb et al,2011,Journal of Ecology,6.18,figure 1,tropical,Zea mays,herbaceous,annual,herbivore,Spodoptera frugiperda,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,distant,leaves,roots,abundance,herbivore,Diabrotica virgifera,Coleoptera,young,chewer,specialist,H,66,1.829,0.632,8,0.434,0.158,8,Erb,
67,8,Erb et al,2011,Journal of Ecology,6.18,figure 2,tropical,Zea mays,herbaceous,annual,herbivore,Spodoptera frugiperda,Lepidoptera,8,young,chewer,generalist,JA_JA,controlled,distant,leaves,roots,damage,herbivore,Diabrotica virgifera,Coleoptera,young,chewer,specialist,H,67,0.342,0.092,8,0.395,0.474,8,Erb,
