Shimamoto,Koshida,Moreira,Santana,Zhou,Dong,Sciberras,Banks,Bugnot,StuartHaentjens
3,,27,,,,,,,
3,,27,,,,,,,
3,,27,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,62,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,26,,,,,,,
20,,19,,,,,,,
20,,16,,,,,,,
20,,5,,,,,,,
20,,25,,,,,,,
20,,10,,,,,,,
20,,10,,,,,,,
20,,13,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,30,,,,,,,
3,,30,,,,,,,
3,,30,,,,,,,
3,,30,,,,,,,
3,,30,,,,,,,
3,,30,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,6,,,,,,,
3,,6,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
80,,15,,,,,,,
40,,4,,,,,,,
40,,4,,,,,,,
10,,4,,,,,,,
10,,30,,,,,,,
10,,25,,,,,,,
40,,106,,,,,,,
40,,12,,,,,,,
40,,12,,,,,,,
40,,12,,,,,,,
40,,12,,,,,,,
40,,8,,,,,,,
10,,8,,,,,,,
10,,12,,,,,,,
10,,12,,,,,,,
40,,13,,,,,,,
40,,13,,,,,,,
40,,13,,,,,,,
40,,14,,,,,,,
40,,14,,,,,,,
40,,14,,,,,,,
40,,14,,,,,,,
40,,14,,,,,,,
40,,14,,,,,,,
20,,15,,,,,,,
20,,15,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,14,,,,,,,
5,,14,,,,,,,
5,,14,,,,,,,
5,,14,,,,,,,
5,,14,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,20,,,,,,,
12,,20,,,,,,,
13,,20,,,,,,,
11,,20,,,,,,,
12,,30,,,,,,,
12,,30,,,,,,,
13,,30,,,,,,,
11,,30,,,,,,,
12,,30,,,,,,,
12,,30,,,,,,,
13,,30,,,,,,,
11,,30,,,,,,,
12,,30,,,,,,,
12,,30,,,,,,,
13,,30,,,,,,,
11,,30,,,,,,,
23,,30,,,,,,,
5,,30,,,,,,,
77,,30,,,,,,,
8,,30,,,,,,,
8,,30,,,,,,,
8,,30,,,,,,,
8,,30,,,,,,,
8,,30,,,,,,,
8,,30,,,,,,,
5,,30,,,,,,,
5,,30,,,,,,,
5,,30,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,12,,,,,,,
26,,80,,,,,,,
26,,80,,,,,,,
2,,80,,,,,,,
3,,80,,,,,,,
2,,80,,,,,,,
3,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,80,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
40,,20,,,,,,,
40,,20,,,,,,,
9,,20,,,,,,,
9,,20,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
31,,10,,,,,,,
31,,10,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
10,,10,,,,,,,
10,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
5,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,60,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
9,,20,,,,,,,
10,,20,,,,,,,
21,,10,,,,,,,
21,,10,,,,,,,
9,,40,,,,,,,
9,,20,,,,,,,
9,,20,,,,,,,
9,,9,,,,,,,
9,,9,,,,,,,
18,,15,,,,,,,
8,,30,,,,,,,
7,,10,,,,,,,
8,,10,,,,,,,
4,,6,,,,,,,
8,,19,,,,,,,
7,,8,,,,,,,
8,,8,,,,,,,
4,,8,,,,,,,
8,,8,,,,,,,
7,,8,,,,,,,
8,,8,,,,,,,
4,,8,,,,,,,
3,,8,,,,,,,
3,,154,,,,,,,
3,,154,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,24,,,,,,,
3,,24,,,,,,,
3,,24,,,,,,,
4,,24,,,,,,,
4,,24,,,,,,,
4,,24,,,,,,,
4,,24,,,,,,,
4,,24,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
8,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
9,,7,,,,,,,
9,,7,,,,,,,
9,,7,,,,,,,
9,,7,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
9,,10,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
30,,,,,,,,,
30,,,,,,,,,
30,,,,,,,,,
30,,,,,,,,,
